"Suite","Name","Outcome","Message"
"integration","CanDoItAll.Tests.Integration.SharedProviderStreamingIntegrationTests.Dispatcher_RejectsMalformedAndOversizedSseFramesBoundedly","Failed","System.InvalidOperationException : Unable to resolve service for type 'CanDoItAll.AgentFramework.Providers.IProviderInferenceRelayRuntime' while attempting to activate 'CanDoItAll.SharedProviders.Http.SharedProviderHttpRelayClient'."
"integration","CanDoItAll.Tests.Integration.SharedProviderStreamingIntegrationTests.Dispatcher_LeavesMissingUsageUnavailable","Failed","System.InvalidOperationException : Unable to resolve service for type 'CanDoItAll.AgentFramework.Providers.IProviderInferenceRelayRuntime' while attempting to activate 'CanDoItAll.SharedProviders.Http.SharedProviderHttpRelayClient'."
"integration","CanDoItAll.Tests.Integration.SharedProviderStreamingIntegrationTests.Dispatcher_ReassemblesSplitUtf8WithoutCorruptingFrame","Failed","System.InvalidOperationException : Unable to resolve service for type 'CanDoItAll.AgentFramework.Providers.IProviderInferenceRelayRuntime' while attempting to activate 'CanDoItAll.SharedProviders.Http.SharedProviderHttpRelayClient'."
"integration","CanDoItAll.Tests.Integration.SharedProviderStreamingIntegrationTests.Dispatcher_ExtractsTerminalUsage","Failed","System.InvalidOperationException : Unable to resolve service for type 'CanDoItAll.AgentFramework.Providers.IProviderInferenceRelayRuntime' while attempting to activate 'CanDoItAll.SharedProviders.Http.SharedProviderHttpRelayClient'."
"integration","CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Legacy_serious_delivery_seed_agents_are_refreshed_to_the_current_baseline","Failed","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI chat completions' requires a model price row on the provider profile."
"integration","CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Saving_managed_agent_policy_customization_preserves_dialog_settings","Failed","System.InvalidOperationException : Agent model override 'gpt-5.6-luna' for provider 'OpenAI default' requires a model price row on the provider profile."
"integration","CanDoItAll.Tests.Integration.LiveLocalOllamaThinkingEffortIntegrationTests.Installed_catalog_and_native_effort_mapping_match_thinking_capabilities","NotExecuted","Set CANDOITALL_RUN_LIVE_OLLAMA_VALIDATION=true to run the installed-model Ollama validation. The test never downloads models."
"integration","CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Organization_workspace_migrates_exact_legacy_managed_openai_image_model","Failed","Assert.Equal() Failure: Values differ"
"integration","CanDoItAll.Tests.Integration.SharedProviderStreamingIntegrationTests.StreamingResponse_AppliesSafeHeadersWithoutForwardingPrivateUpstreamHeaders","Failed","System.InvalidOperationException : Unable to resolve service for type 'CanDoItAll.AgentFramework.Providers.IProviderInferenceRelayRuntime' while attempting to activate 'CanDoItAll.SharedProviders.Http.SharedProviderHttpRelayClient'."
"integration","CanDoItAll.Tests.Integration.ProjectStructure.ProjectStructureAgentIntegrationTests.StartProcessNodeAsync_hr_match_skips_exact_agent_when_provider_cannot_satisfy_process_output_contract","Failed","System.InvalidOperationException : Agent model override 'gpt-5.6-luna' for provider 'OpenAI default' requires a model price row on the provider profile."
"integration","CanDoItAll.Tests.Integration.SharedProviderBackendCheckpointIntegrationTests.Public_model_ids_route_duplicate_upstream_model_names_without_cross_routing","Failed","System.InvalidOperationException : Provider publication metadata property 'agentFrameworkProviderKind' is required."
"integration","CanDoItAll.Tests.Integration.External.PluginCatalogIntegrationTests.Plugin_grants_refresh_office365_workflow_templates_for_project_structure_add_options","Failed","System.InvalidOperationException: LLM Call Component '6a690380-433c-4154-b0f0-06afaed2662a' model 'gpt-5.4-mini' requires a model price row on provider 'OpenAI chat completions'."
"integration","CanDoItAll.Tests.Integration.SharedProviderBackendCheckpointIntegrationTests.Catalog_publication_defaults_off_filters_ineligible_and_supports_sanitized_conditional_get","Failed","System.InvalidOperationException : Provider publication metadata property 'agentFrameworkProviderKind' is required."
"integration","CanDoItAll.Tests.Integration.SharedProviderStreamingIntegrationTests.PostHeaderIdleTimeout_KeepsSseStatusAndFailsCompletion","Failed","System.InvalidOperationException : Unable to resolve service for type 'CanDoItAll.AgentFramework.Providers.IProviderInferenceRelayRuntime' while attempting to activate 'CanDoItAll.SharedProviders.Http.SharedProviderHttpRelayClient'."
